Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Bank liquid reserves to bank assets ratio (%) [FD.RES.LIQU.AS.ZS],"Binding coverage, all products (%) [TM.TAX.MRCH.BC.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Bound rate, simple mean, all products (%) [TM.TAX.MRCH.BR.ZS]"
2010,YR2010,Singapore,SGP,25.27122507,..,69.58,99.7,12.61
2010,YR2010,India,IND,23.37422095,..,74.46,..,49.11
2011,YR2011,Canada,CAN,38.73486407,..,99.68,98.4,6.1
2011,YR2011,Australia,AUS,16.95531026,0.492176094,97.07,99.1,9.93
2011,YR2011,United Arab Emirates,ARE,4.467755562,13.15859507,99.98,..,14.45
2011,YR2011,United States,USA,33.77947006,11.23227377,99.98,99.3,3.59
2011,YR2011,United Kingdom,GBR,12.72351507,..,0,..,..
2011,YR2011,Singapore,SGP,24.83892045,..,69.58,99.7,12.63
2011,YR2011,India,IND,23.46382169,..,74.36,..,51.45
2012,YR2012,Canada,CAN,38.73025757,..,99.69,98.1,6.04
2012,YR2012,Australia,AUS,17.04768884,0.466271572,97.17,99.2,9.62
2012,YR2012,United Arab Emirates,ARE,4.467755562,14.15066232,100,..,14.62
2012,YR2012,United States,USA,33.80953318,10.60530208,99.98,99.3,3.49
2012,YR2012,United Kingdom,GBR,12.80287687,..,0,..,..
2012,YR2012,Singapore,SGP,24.40906516,..,70.79,99.7,12.6
2012,YR2012,India,IND,23.55342242,..,74.36,..,51.4
2013,YR2013,Canada,CAN,38.72565107,..,99.69,98,6.02
2013,YR2013,Australia,AUS,17.14006743,1.213187377,97.16,99,9.62
2013,YR2013,United Arab Emirates,ARE,4.467755562,14.99695069,100,99.9,14.62
2013,YR2013,United States,USA,33.8395963,15.72797704,99.98,99.2,3.47
2013,YR2013,United Kingdom,GBR,12.88223866,..,0,..,..
2013,YR2013,Singapore,SGP,24.0155587,..,70.79,99.6,12.38
2013,YR2013,India,IND,23.64302315,..,74.36,..,51.38
2014,YR2014,Canada,CAN,38.72104457,..,99.69,97.9,6.02
2014,YR2014,Australia,AUS,17.23244601,1.057941151,97.16,99.8,9.62
2014,YR2014,United Arab Emirates,ARE,4.467755562,14.70276194,100,99.9,14.62
2014,YR2014,United States,USA,33.86965942,16.57760984,99.98,98.5,3.46
2014,YR2014,United Kingdom,GBR,12.96160046,..,0,..,..
2014,YR2014,Singapore,SGP,23.58984485,..,70.79,99.7,12.37
2014,YR2014,India,IND,23.73262388,..,..,81.4,..
2015,YR2015,Canada,CAN,38.71643807,..,99.69,97.9,4.91
2015,YR2015,Australia,AUS,17.3248246,1.002905585,97.21,98.8,9.5
2015,YR2015,United Arab Emirates,ARE,4.467755562,16.98740681,100,99.9,14.62
2015,YR2015,United States,USA,33.89972254,14.01416569,99.98,99.1,3.61
2015,YR2015,United Kingdom,GBR,13.04096226,..,0,..,..
2015,YR2015,Singapore,SGP,23.23187588,..,72.21,99.7,6.88
2015,YR2015,India,IND,23.82222461,..,74.34,..,51.93
2016,YR2016,Canada,CAN,38.71201338,..,99.69,97.8,4.91
2016,YR2016,Australia,AUS,17.42548771,0.952285065,97.21,98.8,9.5
2016,YR2016,United Arab Emirates,ARE,4.467755562,14.4293869,100,..,14.62
2016,YR2016,United States,USA,33.89972254,12.3707723,99.98,99.1,3.61
2016,YR2016,United Kingdom,GBR,13.05749597,..,0,..,..
2016,YR2016,Singapore,SGP,22.9696756,..,72.21,99.7,6.88
2016,YR2016,India,IND,23.91182535,..,74.34,81.4,51.93
2017,YR2017,Canada,CAN,38.7078876,..,99.69,97.9,4.93
2017,YR2017,Australia,AUS,17.42291362,1.015501206,97.17,99.4,9.56
2017,YR2017,United Arab Emirates,ARE,4.467755562,15.93934047,100,..,14.66
2017,YR2017,United States,USA,33.86692641,12.69156016,99.98,99.1,3.62
2017,YR2017,United Kingdom,GBR,13.07816311,..,0,..,..
2017,YR2017,Singapore,SGP,22.62640449,..,72.21,99.6,6.88
2017,YR2017,India,IND,24.00142608,..,74.4,..,51.96
2018,YR2018,Canada,CAN,38.70376294,..,99.69,98,4.93
2018,YR2018,Australia,AUS,17.42131456,1.02149048,97.17,98.7,9.56
